"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.43",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.34",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.33",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.17",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.1",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.25",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.45",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.54",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.32",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.12",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.06",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.98",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.01",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.03",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.07",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.12",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.14",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.19",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.32",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.49",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.51",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.25",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.04",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.1",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.17",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.11",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.04",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.99",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.86",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.81",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","7.13",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.86",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.34",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.09",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","5.1",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","4.16",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","4.1",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.95",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.7",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.45",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.47",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.59",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.76",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.81",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.77",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.81",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","4.57",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","4.51",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.76",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.87",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.73",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.84",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.76",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.81",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.87",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.87",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","3.97",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","5.51",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","4.3",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","4.46",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","5.13",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","5.39",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","5.74",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","5.78",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.12",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.18",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.61",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.47",
"ZAF","STINT","TOT","PC_PA","M","2023-Q1","6.58",
