Date,Open,High,Low,Close,Adj Close,Volume
2009-Q1,8991.209961,9325.349609,7671.040039,7994.049805,7994.049805,2655200000
2009-Q1,7908.509766,8257.709961,7155.160156,7568.419922,7568.419922,2809500000
2009-Q1,7454.279785,8843.179688,7021.279785,8109.529785,8109.529785,3376900000
2009-Q2,8173.359863,9068.799805,8084.620117,8828.259766,8828.259766,3798500000
2009-Q2,8848.839844,9522.500000,8827.129883,9522.500000,9522.500000,3006700000
2009-Q2,9517.490234,10170.820313,9491.259766,9958.440430,9958.440430,3795800000
2009-Q3,9889.339844,10359.070313,9050.330078,10356.830078,10356.830078,3393000000
2009-Q3,10355.230469,10767.000000,10142.219727,10492.530273,10492.530273,2927600000
2009-Q3,10453.370117,10577.190430,9971.049805,10133.230469,10133.230469,2585200000
2009-Q4,10072.639648,10397.690430,9628.669922,10034.740234,10034.740234,3133500000
2009-Q4,9903.769531,9979.459961,9076.410156,9345.549805,9345.549805,2760300000
2009-Q4,9281.820313,10707.509766,9233.200195,10546.440430,10546.440430,3335300000
2010-Q1,10609.339844,10982.099609,10198.040039,10198.040039,10198.040039,3461300000
2010-Q1,10212.360352,10449.750000,9867.389648,10126.030273,10126.030273,2486300000
2010-Q1,10128.730469,11147.620117,10116.860352,11089.940430,11089.940430,2840200000
2010-Q2,11178.919922,11408.169922,10865.919922,11057.400391,11057.400391,3039100000
2010-Q2,10847.900391,10847.900391,9395.290039,9768.700195,9768.700195,3169300000
2010-Q2,9747.259766,10251.900391,9347.070313,9382.639648,9382.639648,2699700000
2010-Q3,9296.860352,9807.360352,9091.700195,9537.299805,9537.299805,2938300000
2010-Q3,9574.639648,9750.879883,8807.410156,8824.059570,8824.059570,2551700000
2010-Q3,8833.320313,9704.250000,8796.450195,9369.349609,9369.349609,2480200000
2010-Q4,9440.519531,9716.919922,9179.150391,9202.450195,9202.450195,2922000000
2010-Q4,9166.849609,10157.969727,9123.620117,9937.040039,9937.040039,2736400000
2010-Q4,9939.799805,10394.219727,9918.549805,10228.919922,10228.919922,2638500000
2011-Q1,10352.190430,10620.570313,10182.570313,10237.919922,10237.919922,2736000000
2011-Q1,10281.549805,10891.599609,10245.750000,10624.089844,10624.089844,3125000000
2011-Q1,10676.240234,10768.429688,8227.629883,9755.099609,9755.099609,4792200000
2011-Q2,9757.280273,9849.740234,9405.190430,9849.740234,9849.740234,2991400000
2011-Q2,9964.389648,10017.469727,9406.040039,9693.730469,9693.730469,2475600000
2011-Q2,9708.049805,9849.690430,9318.620117,9816.089844,9816.089844,2889600000
2011-Q3,9878.690430,10207.910156,9824.339844,9833.030273,9833.030273,2450800000
2011-Q3,9907.040039,10040.129883,8619.209961,8955.200195,8955.200195,3428500000
2011-Q3,9017.009766,9098.150391,8359.700195,8700.290039,8700.290039,2664200000
2011-Q4,8567.980469,9152.389648,8343.009766,8988.389648,8988.389648,2371900000
2011-Q4,8880.750000,8946.000000,8135.790039,8434.610352,8434.610352,2276100000
2011-Q4,8581.200195,8729.809570,8272.259766,8455.349609,8455.349609,2086100000
2012-Q1,8549.540039,8911.620117,8349.330078,8802.509766,8802.509766,2153800000
2012-Q1,8789.059570,9866.410156,8780.099609,9723.240234,9723.240234,3455900000
2012-Q1,9771.339844,10255.150391,9509.099609,10083.559570,10083.559570,3340600000
2012-Q2,10161.719727,10190.349609,9388.139648,9520.889648,9520.889648,2547300000
2012-Q2,9471.660156,9472.250000,8455.129883,8542.730469,8542.730469,2713200000
2012-Q2,8465.469727,9044.040039,8238.959961,9006.780273,9006.780273,2548800000
2012-Q3,9103.790039,9136.019531,8328.019531,8695.059570,8695.059570,2457400000
